,value,component,exp,Time
35,-7.260018173838034e-05,x-press,real,2000-01-01 05:00:00
36,0.0006991324480623007,x-press,real,2000-01-01 05:00:00
37,0.0011176790576428175,x-press,real,2000-01-01 05:00:00
38,-3.89276938221883e-05,x-press,real,2000-01-01 05:00:00
39,1.7114954971475527e-05,x-press,real,2000-01-01 05:00:00
40,0.0009568628738634288,x-press,real,2000-01-01 05:00:00
41,0.0010780676966533065,x-press,real,2000-01-01 05:00:00
42,0.0006993766874074936,x-press,real,2000-01-01 05:00:00
43,0.00048462115228176117,x-press,real,2000-01-01 05:00:00
44,0.0004156963841523975,x-press,real,2000-01-01 05:00:00
45,0.0005245556239970028,x-press,real,2000-01-01 05:00:00
46,0.00023870680888649076,x-press,real,2000-01-01 05:00:00
47,0.0001544767728773877,x-press,real,2000-01-01 05:00:00
48,0.0008422652026638389,x-press,real,2000-01-01 05:00:00
0,-0.0,flux-divg,real,2000-01-01 05:00:00
1,-0.0034375950139685523,flux-divg,real,2000-01-01 05:00:00
2,-0.0018919826155071018,flux-divg,real,2000-01-01 05:00:00
3,5.367356698724368e-05,flux-divg,real,2000-01-01 05:00:00
4,0.0007869823871081389,flux-divg,real,2000-01-01 05:00:00
5,-0.00034911284241495187,flux-divg,real,2000-01-01 05:00:00
6,0.0022272256431096716,flux-divg,real,2000-01-01 05:00:00
7,0.0006937194495865062,flux-divg,real,2000-01-01 05:00:00
8,0.000160832627694818,flux-divg,real,2000-01-01 05:00:00
9,-3.116968082476257e-05,flux-divg,real,2000-01-01 05:00:00
10,0.0003310056642942789,flux-divg,real,2000-01-01 05:00:00
11,0.0006492221030706093,flux-divg,real,2000-01-01 05:00:00
12,1.626899236365209e-05,flux-divg,real,2000-01-01 05:00:00
13,0.00018148050622095036,flux-divg,real,2000-01-01 05:00:00
14,-0.00014837222908116598,flux-divg,real,2000-01-01 05:00:00
15,0.00027451517998417695,flux-divg,real,2000-01-01 05:00:00
16,-0.00037032866465894475,flux-divg,real,2000-01-01 05:00:00
17,-0.0003769907137713855,flux-divg,real,2000-01-01 05:00:00
18,-0.0007456241404859325,flux-divg,real,2000-01-01 05:00:00
19,-0.0005055127880241295,flux-divg,real,2000-01-01 05:00:00
20,0.0003776264972928205,flux-divg,real,2000-01-01 05:00:00
21,-7.068082785304597e-05,flux-divg,real,2000-01-01 05:00:00
22,0.0003401542103441457,flux-divg,real,2000-01-01 05:00:00
23,0.0006943081008331689,flux-divg,real,2000-01-01 05:00:00
24,-5.38520909562834e-06,flux-divg,real,2000-01-01 05:00:00
25,0.00012555631613429607,flux-divg,real,2000-01-01 05:00:00
26,-0.0002833296802375891,flux-divg,real,2000-01-01 05:00:00
27,0.0007132384635828721,flux-divg,real,2000-01-01 05:00:00
28,-9.662079243720356e-05,flux-divg,real,2000-01-01 05:00:00
29,0.000408692182709899,flux-divg,real,2000-01-01 05:00:00
30,0.000994440655285799,flux-divg,real,2000-01-01 05:00:00
31,0.0016029384332970729,flux-divg,real,2000-01-01 05:00:00
32,0.0019531642324713207,flux-divg,real,2000-01-01 05:00:00
33,0.0016348622536961034,flux-divg,real,2000-01-01 05:00:00
34,0.0019504507253139836,flux-divg,real,2000-01-01 05:00:00
35,0.00022516842612737341,flux-divg,real,2000-01-01 05:00:00
36,-0.0009310225663004043,flux-divg,real,2000-01-01 05:00:00
37,-0.002100311754443977,flux-divg,real,2000-01-01 05:00:00
38,-0.00043126585368868687,flux-divg,real,2000-01-01 05:00:00
39,0.0004415600817716574,flux-divg,real,2000-01-01 05:00:00
40,0.0004614835058284714,flux-divg,real,2000-01-01 05:00:00
41,-0.0016825980502744265,flux-divg,real,2000-01-01 05:00:00
42,-0.0010309758014920391,flux-divg,real,2000-01-01 05:00:00
43,-0.00027776166795175284,flux-divg,real,2000-01-01 05:00:00
44,-0.0006973574462118029,flux-divg,real,2000-01-01 05:00:00
45,0.0003085380467282066,flux-divg,real,2000-01-01 05:00:00
46,-0.0007338610781898982,flux-divg,real,2000-01-01 05:00:00
47,-0.0003813467272022102,flux-divg,real,2000-01-01 05:00:00
48,3.8014839268937895e-05,flux-divg,real,2000-01-01 05:00:00
0,0.0,x-mom,stable,2000-01-01 05:00:00
1,0.01040883082896471,x-mom,stable,2000-01-01 05:00:00
2,0.03905584663152695,x-mom,stable,2000-01-01 05:00:00
3,-0.2047421634197235,x-mom,stable,2000-01-01 05:00:00
4,-1.3577271699905396,x-mom,stable,2000-01-01 05:00:00
5,-1.4068055152893066,x-mom,stable,2000-01-01 05:00:00
6,-18.55242156982422,x-mom,stable,2000-01-01 05:00:00
7,47.24755859375,x-mom,stable,2000-01-01 05:00:00
8,122.91110229492188,x-mom,stable,2000-01-01 05:00:00
9,-124.27604675292969,x-mom,stable,2000-01-01 05:00:00
10,-74.31578826904297,x-mom,stable,2000-01-01 05:00:00
11,58.62968444824219,x-mom,stable,2000-01-01 05:00:00
12,283.2286071777344,x-mom,stable,2000-01-01 05:00:00
13,39.77650833129883,x-mom,stable,2000-01-01 05:00:00
14,-47.782230377197266,x-mom,stable,2000-01-01 05:00:00
15,-16.44643211364746,x-mom,stable,2000-01-01 05:00:00
16,-173.0163116455078,x-mom,stable,2000-01-01 05:00:00
17,51.26272964477539,x-mom,stable,2000-01-01 05:00:00
18,157.82363891601562,x-mom,stable,2000-01-01 05:00:00
19,57.81407165527344,x-mom,stable,2000-01-01 05:00:00
20,-62.24002456665039,x-mom,stable,2000-01-01 05:00:00
21,104.64482116699219,x-mom,stable,2000-01-01 05:00:00
22,221.84983825683594,x-mom,stable,2000-01-01 05:00:00
23,211.1068878173828,x-mom,stable,2000-01-01 05:00:00
24,56.6119384765625,x-mom,stable,2000-01-01 05:00:00
25,-259.62420654296875,x-mom,stable,2000-01-01 05:00:00
26,-420.6843566894531,x-mom,stable,2000-01-01 05:00:00
27,-294.3106384277344,x-mom,stable,2000-01-01 05:00:00
28,-155.16969299316406,x-mom,stable,2000-01-01 05:00:00
29,-15.018332481384277,x-mom,stable,2000-01-01 05:00:00
30,-189.97633361816406,x-mom,stable,2000-01-01 05:00:00
31,-137.34747314453125,x-mom,stable,2000-01-01 05:00:00
32,-155.99716186523438,x-mom,stable,2000-01-01 05:00:00
33,-225.26834106445312,x-mom,stable,2000-01-01 05:00:00
34,-220.2457275390625,x-mom,stable,2000-01-01 05:00:00
35,-377.7223815917969,x-mom,stable,2000-01-01 05:00:00
36,-377.9849853515625,x-mom,stable,2000-01-01 05:00:00
37,-232.97589111328125,x-mom,stable,2000-01-01 05:00:00
38,-192.81097412109375,x-mom,stable,2000-01-01 05:00:00
39,-145.93043518066406,x-mom,stable,2000-01-01 05:00:00
40,4.935218334197998,x-mom,stable,2000-01-01 05:00:00
41,-55.61701202392578,x-mom,stable,2000-01-01 05:00:00
42,-159.09718322753906,x-mom,stable,2000-01-01 05:00:00
43,-196.2315673828125,x-mom,stable,2000-01-01 05:00:00
44,-285.8125915527344,x-mom,stable,2000-01-01 05:00:00
45,-361.9157409667969,x-mom,stable,2000-01-01 05:00:00
46,-367.8785705566406,x-mom,stable,2000-01-01 05:00:00
47,-320.94757080078125,x-mom,stable,2000-01-01 05:00:00
48,-255.25592041015625,x-mom,stable,2000-01-01 05:00:00
0,0.0,y-mom,stable,2000-01-01 05:00:00
1,0.0016602461691945791,y-mom,stable,2000-01-01 05:00:00
2,0.012254963628947735,y-mom,stable,2000-01-01 05:00:00
3,0.030538303777575493,y-mom,stable,2000-01-01 05:00:00
4,0.04915156587958336,y-mom,stable,2000-01-01 05:00:00
5,0.07711471617221832,y-mom,stable,2000-01-01 05:00:00
6,-1.9313157796859741,y-mom,stable,2000-01-01 05:00:00
7,3.9110798835754395,y-mom,stable,2000-01-01 05:00:00
8,4.5796709060668945,y-mom,stable,2000-01-01 05:00:00
9,4.697310447692871,y-mom,stable,2000-01-01 05:00:00
10,0.28758567571640015,y-mom,stable,2000-01-01 05:00:00
11,-23.469253540039062,y-mom,stable,2000-01-01 05:00:00
12,-18.316059112548828,y-mom,stable,2000-01-01 05:00:00
13,-17.122039794921875,y-mom,stable,2000-01-01 05:00:00
14,18.89038848876953,y-mom,stable,2000-01-01 05:00:00
15,15.028404235839844,y-mom,stable,2000-01-01 05:00:00
16,-7.438344955444336,y-mom,stable,2000-01-01 05:00:00
17,16.80167007446289,y-mom,stable,2000-01-01 05:00:00
18,0.2832666039466858,y-mom,stable,2000-01-01 05:00:00
19,2.7358031272888184,y-mom,stable,2000-01-01 05:00:00
20,-9.508525848388672,y-mom,stable,2000-01-01 05:00:00
21,-4.923678398132324,y-mom,stable,2000-01-01 05:00:00
22,23.231348037719727,y-mom,stable,2000-01-01 05:00:00
23,34.58039093017578,y-mom,stable,2000-01-01 05:00:00
24,24.902366638183594,y-mom,stable,2000-01-01 05:00:00
25,12.907782554626465,y-mom,stable,2000-01-01 05:00:00
26,11.703045845031738,y-mom,stable,2000-01-01 05:00:00
27,6.071526527404785,y-mom,stable,2000-01-01 05:00:00
28,13.105834007263184,y-mom,stable,2000-01-01 05:00:00
29,6.892124652862549,y-mom,stable,2000-01-01 05:00:00
30,5.812358379364014,y-mom,stable,2000-01-01 05:00:00
31,10.961077690124512,y-mom,stable,2000-01-01 05:00:00
32,-6.38551139831543,y-mom,stable,2000-01-01 05:00:00
33,-3.415637254714966,y-mom,stable,2000-01-01 05:00:00
34,-3.968947410583496,y-mom,stable,2000-01-01 05:00:00
35,-1.7455482482910156,y-mom,stable,2000-01-01 05:00:00
36,3.509324789047241,y-mom,stable,2000-01-01 05:00:00
37,0.33230382204055786,y-mom,stable,2000-01-01 05:00:00
38,12.525260925292969,y-mom,stable,2000-01-01 05:00:00
39,12.886198997497559,y-mom,stable,2000-01-01 05:00:00
40,12.605478286743164,y-mom,stable,2000-01-01 05:00:00
41,5.2048845291137695,y-mom,stable,2000-01-01 05:00:00
42,4.719905853271484,y-mom,stable,2000-01-01 05:00:00
43,2.063605546951294,y-mom,stable,2000-01-01 05:00:00
44,8.598291397094727,y-mom,stable,2000-01-01 05:00:00
45,3.848278045654297,y-mom,stable,2000-01-01 05:00:00
46,10.529330253601074,y-mom,stable,2000-01-01 05:00:00
47,13.554661750793457,y-mom,stable,2000-01-01 05:00:00
48,8.078950881958008,y-mom,stable,2000-01-01 05:00:00
0,35.9933964596519,z-mom,stable,2000-01-01 05:00:00
1,39.03424396756329,z-mom,stable,2000-01-01 05:00:00
2,-39.216584256329114,z-mom,stable,2000-01-01 05:00:00
3,96.08318829113924,z-mom,stable,2000-01-01 05:00:00
4,68.44238034018987,z-mom,stable,2000-01-01 05:00:00
5,-155.93169501582278,z-mom,stable,2000-01-01 05:00:00
6,-325.9416930379747,z-mom,stable,2000-01-01 05:00:00
7,-74.25849485759494,z-mom,stable,2000-01-01 05:00:00
8,-52.430790150316454,z-mom,stable,2000-01-01 05:00:00
9,-147.11446795886076,z-mom,stable,2000-01-01 05:00:00
10,-146.70066257911392,z-mom,stable,2000-01-01 05:00:00
11,-68.43496835443038,z-mom,stable,2000-01-01 05:00:00
12,-260.3098892405063,z-mom,stable,2000-01-01 05:00:00
13,-177.10118670886075,z-mom,stable,2000-01-01 05:00:00
14,-341.4892800632911,z-mom,stable,2000-01-01 05:00:00
15,-235.80419303797467,z-mom,stable,2000-01-01 05:00:00
16,-336.6700158227848,z-mom,stable,2000-01-01 05:00:00
17,-271.85007911392404,z-mom,stable,2000-01-01 05:00:00
18,-499.2590189873418,z-mom,stable,2000-01-01 05:00:00
19,-346.91052215189876,z-mom,stable,2000-01-01 05:00:00
20,-401.59818037974685,z-mom,stable,2000-01-01 05:00:00
21,-299.81904667721517,z-mom,stable,2000-01-01 05:00:00
22,-274.8435719936709,z-mom,stable,2000-01-01 05:00:00
23,-302.9870846518987,z-mom,stable,2000-01-01 05:00:00
24,-415.9505933544304,z-mom,stable,2000-01-01 05:00:00
25,-433.7642405063291,z-mom,stable,2000-01-01 05:00:00
26,-488.90822784810126,z-mom,stable,2000-01-01 05:00:00
27,-351.76946202531644,z-mom,stable,2000-01-01 05:00:00
28,-288.5576542721519,z-mom,stable,2000-01-01 05:00:00
29,-132.1032832278481,z-mom,stable,2000-01-01 05:00:00
30,-111.26888844936708,z-mom,stable,2000-01-01 05:00:00
31,-107.75360957278481,z-mom,stable,2000-01-01 05:00:00
32,-166.94762658227847,z-mom,stable,2000-01-01 05:00:00
33,-124.93088409810126,z-mom,stable,2000-01-01 05:00:00
34,-84.54252373417721,z-mom,stable,2000-01-01 05:00:00
35,-60.58524525316456,z-mom,stable,2000-01-01 05:00:00
36,-113.23888449367088,z-mom,stable,2000-01-01 05:00:00
37,-124.12320015822785,z-mom,stable,2000-01-01 05:00:00
38,-53.49342365506329,z-mom,stable,2000-01-01 05:00:00
39,-5.3444348299050635,z-mom,stable,2000-01-01 05:00:00
40,-42.10188884493671,z-mom,stable,2000-01-01 05:00:00
41,-31.91632713607595,z-mom,stable,2000-01-01 05:00:00
42,-16.037009246439872,z-mom,stable,2000-01-01 05:00:00
43,-40.16502175632911,z-mom,stable,2000-01-01 05:00:00
44,32.3766366693038,z-mom,stable,2000-01-01 05:00:00
45,-14.056570164161393,z-mom,stable,2000-01-01 05:00:00
46,-69.18754944620254,z-mom,stable,2000-01-01 05:00:00
47,-22.99980715981013,z-mom,stable,2000-01-01 05:00:00
48,-31.374461036392404,z-mom,stable,2000-01-01 05:00:00
0,0.0,x-press,stable,2000-01-01 05:00:00
1,1.5348889519373188e-06,x-press,stable,2000-01-01 05:00:00
2,2.9284665288287215e-06,x-press,stable,2000-01-01 05:00:00
3,1.971195888472721e-05,x-press,stable,2000-01-01 05:00:00
4,-1.31543242787302e-06,x-press,stable,2000-01-01 05:00:00
5,-2.0080538888578303e-05,x-press,stable,2000-01-01 05:00:00
6,-0.00015998333401512355,x-press,stable,2000-01-01 05:00:00
7,-4.969146175426431e-05,x-press,stable,2000-01-01 05:00:00
8,-3.754649151233025e-05,x-press,stable,2000-01-01 05:00:00
9,-0.00013329634384717792,x-press,stable,2000-01-01 05:00:00
10,-0.000751878134906292,x-press,stable,2000-01-01 05:00:00
11,9.666089317761362e-05,x-press,stable,2000-01-01 05:00:00
12,6.665273394901305e-05,x-press,stable,2000-01-01 05:00:00
13,0.0004195299989078194,x-press,stable,2000-01-01 05:00:00
14,-0.0006607745308429003,x-press,stable,2000-01-01 05:00:00
15,-0.00125980656594038,x-press,stable,2000-01-01 05:00:00
16,-0.0005678033921867609,x-press,stable,2000-01-01 05:00:00
17,-5.6615066569065675e-05,x-press,stable,2000-01-01 05:00:00
18,0.00040048357914201915,x-press,stable,2000-01-01 05:00:00
19,-0.0003067485522478819,x-press,stable,2000-01-01 05:00:00
20,-0.00034836638951674104,x-press,stable,2000-01-01 05:00:00
21,-0.00017937427037395537,x-press,stable,2000-01-01 05:00:00
22,-3.5464596294332296e-05,x-press,stable,2000-01-01 05:00:00
23,-0.000537397398147732,x-press,stable,2000-01-01 05:00:00
24,-0.00040828308556228876,x-press,stable,2000-01-01 05:00:00
25,-0.00020861531083937734,x-press,stable,2000-01-01 05:00:00
26,-0.0004974909243173897,x-press,stable,2000-01-01 05:00:00
